Junctions	ADRENALGLAND1	ADRENALGLAND2	COLON1	COLON2	CORTEX1	CORTEX2	DUODENUM1	DUODENUM2	ESOPHAGUS1	ESOPHAGUS2	HEART1	HEART2	KIDNEY1	KIDNEY2	LIVER1	LIVER2	LUNG1	LUNG2	OVARY1	OVARY2	PANCREAS1	PANCREAS2	SKIN1	SKIN2	SPLEEN_1	SPLEEN_2	STOMACH1	STOMACH2	TESTIS1	TESTIS2	THYROIDGLAND1	THYROIDGLAND2
CGATENSCAFT00000044934JUNC00154	2	2	4	8	75	60	3	2	6	8	6	8	28	27	3	3	19	19	26	30	1	1	2	4	40	34	3	4	2	6	2	0
CGATENSCAFT00000044934JUNC00155	2	2	3	2	11	10	0	1	3	5	3	5	20	13	1	1	7	4	29	24	2	2	4	1	42	47	3	5	3	0	0	0
CGATENSCAFT00000044934JUNC00156	1	1	3	4	7	6	1	2	7	2	7	2	7	13	0	0	6	12	11	17	0	0	0	2	22	31	4	3	3	1	0	0
CGATENSCAFT00000044934JUNC00157	5	4	2	2	31	33	1	3	4	6	4	6	117	118	3	3	16	16	21	20	0	3	0	2	30	33	5	4	8	4	0	2
CGATENSCAFT00000044934JUNC00159	0	0	0	0	0	0	0	0	1	3	1	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000044443JUNC00160	10	9	7	4	22	24	3	3	0	3	0	3	107	96	2	0	20	16	21	18	2	0	5	3	27	29	6	3	4	1	1	1
CGATENSMUST00000182078JUNC00161	0	0	0	0	9	9	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CGATENSMUST00000005072JUNC00162	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CGATENSMUST00000045167JUNC00164	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000113493JUNC00165	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGATENSMUST00000113493JUNC00166	1	0	0	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGATENSMUST00000191747JUNC00169	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	6	0	2	0	0	0	1	2	4	0	0	0	0	0	0
CGATENSMUST00000194069JUNC00170	2	0	14	7	2	5	2	4	6	10	6	10	2	6	4	3	23	19	8	12	1	2	5	1	15	7	5	3	1	2	6	6
CGATENSMUST00000069949JUNC00174	0	0	2	1	0	1	0	0	1	1	1	1	2	0	1	1	11	10	0	0	0	0	2	3	6	2	3	2	5	6	0	0
CGATENSCAFT00000044999JUNC00177	2	0	1	0	0	0	0	0	5	5	5	5	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000044999JUNC00178	0	0	0	0	0	0	0	0	7	4	7	4	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0
CGATENSCAFT00000044999JUNC00179	0	0	0	0	3	3	0	0	10	3	10	3	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	3	0	0
CGATENSMUST00000114629JUNC00180	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0
