Junctions	Brain_13	Brain_26	Brain_39	Colon_20	Colon_33	Colon_7	Duodenum_17	Duodenum_30	Duodenum_4	Esophagus_12	Esophagus_25	Esophagus_38	Heart_24	Heart_37	Ileum_19	Ileum_32	Ileum_6	Jejunum_18	Jejunum_31	Jejunum_5	Kidney_21	Kidney_34	Kidney_8	Liver_15	Liver_28	Liver_2	Muscle_22	Muscle_35	Muscle_9	Pancreas_14	Pancreas_1	Pancreas_27	Stomach_16	Stomach_29	Stomach_3	Thymus_10	Thymus_23	Thymus_36
CGAMUSTENST00000253925JUNC00590	1	2	6	6	14	21	10	9	9	19	11	19	6	15	6	10	18	19	11	8	13	12	14	4	0	6	6	2	1	0	0	0	11	15	3	27	18	23
CGAMUSTENST00000253925JUNC00591	1	5	7	11	12	8	22	16	15	20	17	22	18	23	10	4	10	22	10	10	13	21	18	1	0	5	2	2	0	0	3	0	16	5	15	15	29	23
CGAMUSTENST00000256720JUNC00597	4	5	4	0	2	2	1	0	0	0	2	6	0	1	3	0	2	4	1	2	2	3	1	2	0	0	0	2	0	0	1	0	3	2	0	5	4	4
CGAMUSTENST00000435575JUNC00598	0	0	0	0	0	0	0	0	0	19	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGAMUSTENST00000361737JUNC00601	4	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
CGAMUSTENST00000360194JUNC00602	0	0	0	2	4	0	0	0	0	2	1	2	2	1	1	4	1	4	1	3	0	0	2	1	0	0	3	4	2	0	0	0	0	2	1	3	1	2
CGAMUSTENST00000270530JUNC00604	0	5	1	0	2	4	2	0	0	2	6	5	0	0	1	1	3	2	0	1	4	3	0	0	0	0	0	0	1	0	0	0	1	0	0	4	3	9
CGAMUSTENST00000380654JUNC00611	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000402042JUNC00614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000414869JUNC00615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000015573JUNC00623	0	3	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000015573JUNC00624	4	3	2	1	1	2	0	0	0	0	0	2	1	3	1	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	2	0	0	1	5	1
