Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENST00000460170JUNC01835	0	0	16	74	159	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
CGACAFTENST00000460170JUNC01836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000618462JUNC01837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000618462JUNC01838	0	0	1	1	1	1	1	0	2	0	0	6	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	2	0	0	0	0
CGACAFTENST00000618462JUNC01839	2	2	31	50	20	32	1	3	1	0	4	150	4	0	4	17	5	6	3	0	0	1	12	17	0	11	2	1	31	11	4	1
CGACAFTENST00000369356JUNC01840	3	0	77	75	61	59	3	3	133	9	3	151	2	0	5	4	5	9	244	0	0	2	71	4	0	15	11	1	26	5	0	0
CGACAFTENST00000369349JUNC01841	0	0	153	52	22	61	1	0	40	6	0	124	0	0	2	0	0	0	208	0	0	0	63	0	0	0	5	0	12	0	0	0
CGACAFTENST00000313431JUNC01842	27	27	68	97	66	88	66	35	13	21	19	26	42	51	64	36	23	42	22	19	11	32	90	26	36	52	27	33	55	69	108	58
CGACAFTENST00000464103JUNC01843	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000435432JUNC01844	10	8	156	58	43	54	16	31	9	21	16	9	3	63	7	5	62	15	4	16	17	14	22	9	0	21	13	22	28	63	33	280
CGACAFTENST00000396218JUNC01845	1	0	21	3	3	3	0	0	0	0	1	4	0	0	0	0	6	3	0	0	0	1	1	1	0	3	0	1	1	2	3	0
CGACAFTENST00000434267JUNC01847	0	0	279	174	250	301	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	270	0	0	0	0	1	63	0	1	0
CGACAFTENSMUST00000164930JUNC01848	1	0	153	178	81	87	12	2	1	0	2	4	0	2	0	0	14	0	1	1	0	2	220	2	0	13	1	0	206	8	3	1
CGACAFTENSMUST00000164930JUNC01849	4	0	63	151	97	56	99	3	106	16	10	158	26	2	0	0	9	41	194	10	7	12	66	9	0	22	20	5	100	52	2	2
CGACAFTENSMUST00000164930JUNC01850	5	3	99	64	24	40	8	12	85	11	19	197	2	9	11	5	31	42	176	24	34	27	166	22	0	17	32	46	273	13	43	47
