Junctions	sum	species
CGATENSMUST00000113590JUNC00089	42	human
CGATENSMUST00000113590JUNC00090	1	human
CGATENSCAFT00000024036JUNC00091	200	human
CGATENSMUST00000199256JUNC00092	70	human
CGATENSMUST00000047645JUNC00094	39	human
CGATENSCAFT00000012325JUNC00095	101	human
CGATENSCAFT00000012325JUNC00096	99	human
CGATENSCAFT00000012325JUNC00097	504	human
CGATENSCAFT00000012333JUNC00098	19	human
CGATENSMUST00000099355JUNC00099	42	human
CGATENSMUST00000106151JUNC00100	132	human
CGATENSCAFT00000012642JUNC00103	6	human
CGATENSMUST00000160629JUNC00105	62	human
CGATENSMUST00000203187JUNC00106	31	human
CGATENSMUST00000076968JUNC00109	2	human
CGATENSMUST00000076968JUNC00110	23	human
CGATENSMUST00000076968JUNC00111	31	human
CGATENSMUST00000020884JUNC00113	8	human
CGATENSMUST00000020884JUNC00114	7	human
CGATENSMUST00000107043JUNC00118	3	human
CGATENSCAFT00000017823JUNC00119	314	human
CGATENSCAFT00000017823JUNC00120	179	human
CGATENSMUST00000105992JUNC00121	63	human
CGATENSMUST00000105991JUNC00122	17	human
CGATENSMUST00000110906JUNC00123	5	human
CGATENSMUST00000202567JUNC00125	22	human
CGATENSMUST00000080934JUNC00126	3	human
CGATENSMUST00000108191JUNC00127	8	human
CGACAFTENST00000532059JUNC00001	7	dog
CGACAFTENST00000297620JUNC00002	653	dog
CGACAFTENSMUST00000108049JUNC00003	83	dog
CGACAFTENST00000636071JUNC00005	14	dog
CGACAFTENST00000636071JUNC00006	2	dog
CGACAFTENST00000371714JUNC00007	2119	dog
CGACAFTENST00000447887JUNC00008	170	dog
CGACAFTENST00000447887JUNC00009	167	dog
CGACAFTENST00000453295JUNC00010	112	dog
CGACAFTENST00000361556JUNC00011	1461	dog
CGACAFTENSMUST00000172057JUNC00014	542	dog
CGACAFTENSMUST00000172057JUNC00015	644	dog
CGACAFTENST00000438665JUNC00016	870	dog
CGACAFTENST00000221222JUNC00017	1	dog
CGACAFTENSMUST00000140212JUNC00019	41	dog
CGACAFTENST00000378092JUNC00020	778	dog
CGACAFTENST00000378083JUNC00021	7	dog
CGACAFTENST00000378083JUNC00022	44	dog
CGACAFTENST00000378083JUNC00023	34	dog
CGACAFTENSMUST00000074046JUNC00025	90	dog
CGACAFTENSMUST00000074046JUNC00026	75	dog
CGACAFTENST00000262494JUNC00027	1713	dog
CGACAFTENST00000262494JUNC00028	1149	dog
CGACAFTENST00000452722JUNC00029	442	dog
CGACAFTENST00000542447JUNC00030	164	dog
CGACAFTENST00000536727JUNC00031	200	dog
CGACAFTENST00000373063JUNC00032	355	dog
CGACAFTENST00000373057JUNC00033	7	dog
CGACAFTENST00000373057JUNC00034	317	dog
CGACAFTENST00000309703JUNC00035	244	dog
CGACAFTENST00000323180JUNC00036	221	dog
CGACAFTENST00000323180JUNC00037	168	dog
CGACAFTENST00000418153JUNC00038	133	dog
CGACAFTENSMUST00000111291JUNC00039	23	dog
CGACAFTENSMUST00000111292JUNC00040	22	dog
CGACAFTENST00000361168JUNC00042	599	dog
CGACAFTENSMUST00000090927JUNC00043	734	dog
CGACAFTENST00000378520JUNC00044	2	dog
CGACAFTENST00000380138JUNC00046	166	dog
CGACAFTENST00000345429JUNC00047	988	dog
CGACAFTENST00000376673JUNC00048	35	dog
CGACAFTENSMUST00000088419JUNC00049	345	dog
CGACAFTENSMUST00000088419JUNC00050	399	dog
CGACAFTENSMUST00000088419JUNC00051	622	dog
CGACAFTENST00000378735JUNC00052	85	dog
CGACAFTENST00000394829JUNC00054	2155	dog
CGACAFTENST00000394828JUNC00055	637	dog
CGACAFTENST00000457054JUNC00056	128	dog
CGACAFTENST00000355633JUNC00057	25	dog
CGACAFTENST00000342203JUNC00061	995	dog
CGACAFTENST00000488267JUNC00063	119	dog
CGACAFTENST00000344626JUNC00065	1061	dog
CGACAFTENST00000344626JUNC00066	1194	dog
CGACAFTENST00000589677JUNC00068	910	dog
CGACAFTENST00000414276JUNC00069	2	dog
CGACAFTENST00000414276JUNC00070	26	dog
CGACAFTENSMUST00000174282JUNC00071	679	dog
CGACAFTENST00000263846JUNC00072	332	dog
CGACAFTENST00000540677JUNC00073	68	dog
CGACAFTENST00000540677JUNC00074	52	dog
CGACAFTENST00000542836JUNC00075	47	dog
CGACAFTENSMUST00000076968JUNC00076	123	dog
CGACAFTENSMUST00000169121JUNC00077	14	dog
CGACAFTENST00000502976JUNC00078	11202	dog
CGACAFTENST00000502976JUNC00079	24767	dog
CGACAFTENST00000374680JUNC00081	2481	dog
CGACAFTENST00000509053JUNC00082	408	dog
CGACAFTENST00000509053JUNC00083	71	dog
CGACAFTENST00000505980JUNC00084	74	dog
CGACAFTENST00000515395JUNC00085	370	dog
CGACAFTENSMUST00000100772JUNC00087	14	dog
CGACAFTENST00000528062JUNC00088	1921	dog
CGACAFTENSMUST00000146297JUNC00089	4285	dog
CGACAFTENST00000378099JUNC00090	2	dog
CGACAFTENSMUST00000109701JUNC00091	5830	dog
CGACAFTENST00000380036JUNC00094	631	dog
CGACAFTENSMUST00000202567JUNC00097	3	dog
CGACAFTENST00000271234JUNC00098	35	dog
CGACAFTENST00000271234JUNC00099	36	dog
CGACAFTENST00000374189JUNC00100	521	dog
CGACAFTENST00000374189JUNC00101	508	dog
CGACAFTENST00000374189JUNC00102	568	dog
CGACAFTENST00000360332JUNC00103	1	dog
CGACAFTENSMUST00000121093JUNC00104	890	dog
CGACAFTENSMUST00000020884JUNC00105	428	dog
CGACAFTENSMUST00000020884JUNC00106	429	dog
CGACAFTENST00000393512JUNC00107	116	dog
CGACAFTENST00000393512JUNC00108	330	dog
CGACAFTENST00000360162JUNC00109	2482	dog
CGACAFTENST00000526757JUNC00110	32	dog
CGACAFTENST00000373913JUNC00111	488	dog
CGACAFTENST00000373913JUNC00112	479	dog
CGACAFTENST00000340491JUNC00113	827	dog
CGACAFTENSMUST00000109568JUNC00114	2	dog
CGACAFTENST00000404234JUNC00115	366	dog
CGACAFTENST00000360929JUNC00116	1	dog
CGACAFTENST00000360929JUNC00117	59	dog
CGACAFTENST00000529632JUNC00119	12	dog
CGACAFTENSMUST00000075387JUNC00120	224	dog
CGACAFTENST00000409762JUNC00122	1535	dog
CGACAFTENST00000429174JUNC00123	431	dog
CGACAFTENST00000429174JUNC00124	619	dog
CGACAFTENST00000544049JUNC00125	194	dog
CGACAFTENST00000295894JUNC00126	1632	dog
CGACAFTENSMUST00000116492JUNC00127	2464	dog
CGACAFTENST00000257075JUNC00128	572	dog
CGACAFTENST00000257075JUNC00129	826	dog
CGACAFTENST00000257075JUNC00130	1409	dog
CGACAFTENSMUST00000105992JUNC00131	336	dog
CGACAFTENSMUST00000105991JUNC00132	90	dog
CGACAFTENST00000229795JUNC00133	1480	dog
CGACAFTENST00000229795JUNC00134	1689	dog
CGACAFTENST00000405192JUNC00136	1	dog
CGACAFTENST00000403527JUNC00137	419	dog
CGACAFTENST00000403685JUNC00138	39	dog
CGACAFTENST00000420159JUNC00139	7	dog
CGACAFTENST00000572834JUNC00143	2	dog
CGACAFTENST00000330622JUNC00144	763	dog
CGACAFTENST00000456095JUNC00145	756	dog
CGACAFTENST00000400181JUNC00146	277	dog
CGACAFTENST00000400181JUNC00147	382	dog
CGACAFTENST00000370994JUNC00148	16249	dog
CGACAFTENST00000370994JUNC00149	29470	dog
CGACAFTENST00000344384JUNC00151	37	dog
CGACAFTENST00000277575JUNC00152	11	dog
CGACAFTENSMUST00000042503JUNC00153	3	dog
CGACAFTENST00000406974JUNC00154	7	dog
CGACAFTENSMUST00000106228JUNC00155	2882	dog
CGACAFTENSMUST00000084781JUNC00158	3	dog
CGACAFTENST00000357250JUNC00159	121	dog
CGACAFTENST00000357250JUNC00160	170	dog
CGACAFTENST00000357250JUNC00161	386	dog
CGACAFTENST00000357250JUNC00162	498	dog
CGACAFTENST00000320755JUNC00163	76	dog
CGACAFTENST00000220429JUNC00164	430	dog
CGACAFTENSMUST00000110424JUNC00165	66	dog
CGACAFTENST00000265997JUNC00167	154	dog
CGACAFTENST00000265997JUNC00168	6	dog
CGACAFTENSMUST00000079754JUNC00169	80	dog
CGACAFTENSMUST00000079754JUNC00170	77	dog
CGACAFTENST00000222597JUNC00171	60	dog
CGACAFTENST00000621218JUNC00173	15751	dog
CGACAFTENST00000372397JUNC00174	10939	dog
CGACAFTENST00000368682JUNC00175	802	dog
CGACAFTENST00000368682JUNC00176	825	dog
CGACAFTENST00000295987JUNC00177	1151	dog
CGACAFTENST00000477726JUNC00178	10	dog
CGACAFTENSMUST00000056931JUNC00179	5723	dog
CGACAFTENSMUST00000056931JUNC00180	1921	dog
CGACAFTENST00000378312JUNC00181	42	dog
CGACAFTENST00000396688JUNC00182	614	dog
CGACAFTENSMUST00000113590JUNC00183	244	dog
CGACAFTENSMUST00000113590JUNC00184	14	dog
CGACAFTENST00000401867JUNC00185	1503	dog
CGACAFTENST00000401867JUNC00186	1848	dog
CGACAFTENST00000373836JUNC00187	310	dog
CGACAFTENSMUST00000084170JUNC00188	1	dog
CGACAFTENST00000373701JUNC00189	691	dog
CGACAFTENST00000623893JUNC00190	855	dog
CGACAFTENST00000353341JUNC00191	14506	dog
CGACAFTENST00000352301JUNC00192	3185	dog
CGACAFTENST00000533727JUNC00193	659	dog
CGACAFTENST00000534300JUNC00194	7	dog
CGACAFTENST00000440311JUNC00196	1	dog
CGACAFTENSMUST00000026416JUNC00197	426	dog
CGACAFTENSMUST00000026416JUNC00198	714	dog
CGACAFTENST00000315266JUNC00199	1020	dog
CGACAFTENST00000520220JUNC00200	669	dog
CGACAFTENST00000472644JUNC00201	640	dog
CGACAFTENST00000354558JUNC00202	13	dog
CGACAFTENSMUST00000046769JUNC00203	810	dog
CGACAFTENST00000355221JUNC00204	326	dog
CGACAFTENST00000361776JUNC00205	101	dog
CGACAFTENSMUST00000047645JUNC00206	70	dog
CGACAFTENST00000554684JUNC00207	1061	dog
CGACAFTENST00000540797JUNC00209	1	dog
CGACAFTENSMUST00000098613JUNC00210	6	dog
CGACAFTENST00000356728JUNC00212	243	dog
CGACAFTENSMUST00000063782JUNC00214	3	dog
CGACAFTENSMUST00000063782JUNC00215	603	dog
CGACAFTENST00000356644JUNC00218	381	dog
CGACAFTENST00000448447JUNC00219	90	dog
CGACAFTENST00000398376JUNC00220	814	dog
CGACAFTENST00000398376JUNC00221	937	dog
CGACAFTENST00000417353JUNC00223	3	dog
CGACAFTENSMUST00000208446JUNC00224	472	dog
CGACAFTENST00000370779JUNC00225	37	dog
CGACAFTENST00000354078JUNC00228	4	dog
CGACAFTENST00000349807JUNC00229	2	dog
CGACAFTENST00000618438JUNC00230	55	dog
CGACAFTENST00000345434JUNC00231	450	dog
CGACAFTENST00000345434JUNC00232	385	dog
CGACAFTENSMUST00000160629JUNC00234	334	dog
CGACAFTENST00000444053JUNC00235	1557	dog
CGACAFTENST00000630269JUNC00237	17	dog
CGACAFTENST00000272322JUNC00239	240	dog
CGACAFTENSMUST00000096127JUNC00240	1	dog
CGACAFTENST00000509773JUNC00244	684	dog
CGACAFTENSMUST00000103159JUNC00245	42	dog
CGACAFTENST00000336604JUNC00246	1538	dog
CGACAFTENST00000396840JUNC00247	599	dog
CGACAFTENST00000451813JUNC00249	181	dog
CGACAFTENST00000367380JUNC00250	42	dog
CGACAFTENST00000544496JUNC00251	2	dog
CGACAFTENST00000402711JUNC00252	61	dog
CGACAFTENSMUST00000096766JUNC00253	423	dog
CGACAFTENSMUST00000096766JUNC00254	423	dog
CGACAFTENST00000618166JUNC00256	63	dog
CGACAFTENST00000397138JUNC00257	23	dog
CGACAFTENSMUST00000080934JUNC00260	113	dog
CGACAFTENSMUST00000108191JUNC00261	43	dog
CGACAFTENST00000419354JUNC00262	1174	dog
CGACAFTENST00000419354JUNC00263	1749	dog
CGACAFTENST00000452595JUNC00264	164	dog
CGACAFTENST00000443183JUNC00265	320	dog
CGACAFTENST00000443183JUNC00266	294	dog
CGACAFTENST00000357674JUNC00267	991	dog
CGACAFTENSMUST00000115196JUNC00268	21	dog
CGACAFTENST00000545766JUNC00270	65	dog
CGACAFTENSMUST00000112294JUNC00271	338	dog
CGACAFTENST00000354695JUNC00272	2358	dog
CGACAFTENST00000593685JUNC00273	789	dog
CGACAFTENST00000597639JUNC00274	94	dog
CGACAFTENST00000295951JUNC00275	150	dog
CGACAFTENST00000428312JUNC00276	83	dog
CGACAFTENST00000449503JUNC00277	1101	dog
CGACAFTENST00000372123JUNC00278	3	dog
CGACAFTENSMUST00000164290JUNC00279	41	dog
CGACAFTENST00000379716JUNC00280	197	dog
CGACAFTENST00000379698JUNC00281	223	dog
CGACAFTENST00000408038JUNC00283	134	dog
CGACAFTENST00000393441JUNC00284	117	dog
CGACAFTENST00000348962JUNC00285	291	dog
CGACAFTENST00000257468JUNC00286	2763	dog
CGACAFTENST00000263280JUNC00287	2935	dog
CGACAFTENST00000269137JUNC00288	1660	dog
CGACAFTENSMUST00000040964JUNC00289	2	dog
CGACAFTENST00000351691JUNC00291	76	dog
CGACAFTENST00000355665JUNC00292	612	dog
CGACAFTENST00000579690JUNC00293	1876	dog
CGACAFTENST00000257414JUNC00294	72	dog
CGACAFTENST00000257414JUNC00295	82	dog
CGACAFTENSMUST00000076043JUNC00296	239	dog
CGACAFTENST00000444564JUNC00297	149	dog
CGACAFTENST00000359882JUNC00298	7	dog
CGACAFTENST00000355961JUNC00299	24	dog
CGACAFTENST00000361988JUNC00300	318	dog
CGACAFTENST00000418709JUNC00301	248	dog
CGACAFTENST00000392460JUNC00302	167	dog
CGACAFTENST00000440651JUNC00303	1881	dog
CGACAFTENST00000354600JUNC00304	3591	dog
CGACAFTENST00000369615JUNC00305	256	dog
CGACAFTENST00000301894JUNC00306	1239	dog
CGACAFTENST00000377551JUNC00307	629	dog
CGACAFTENST00000377551JUNC00308	40	dog
CGACAFTENST00000377559JUNC00309	100	dog
CGACAFTENST00000377559JUNC00310	598	dog
CGACAFTENST00000377559JUNC00311	255	dog
CGACAFTENST00000377559JUNC00312	945	dog
CGACAFTENST00000299259JUNC00313	1521	dog
CGACAFTENST00000558014JUNC00314	77	dog
CGACAFTENST00000536845JUNC00315	414	dog
CGACAFTENST00000558816JUNC00316	65	dog
CGACAFTENST00000354744JUNC00318	104	dog
CGACAFTENST00000448935JUNC00320	2	dog
CGACAFTENST00000381795JUNC00322	36	dog
CGACAFTENST00000320694JUNC00323	86	dog
CGACAFTENST00000336483JUNC00324	420	dog
CGACAFTENST00000367926JUNC00325	1873	dog
CGACAFTENST00000367924JUNC00326	775	dog
CGACAFTENST00000397624JUNC00327	81	dog
CGACAFTENSMUST00000110906JUNC00328	65	dog
CGACAFTENST00000342556JUNC00329	217	dog
CGACAFTENST00000535754JUNC00330	10	dog
CGACAFTENST00000442461JUNC00331	293	dog
CGACAFTENST00000506560JUNC00332	12	dog
CGACAFTENST00000311559JUNC00334	43	dog
CGACAFTENST00000473814JUNC00336	102	dog
CGACAFTENST00000345807JUNC00337	22671	dog
CGACAFTENST00000618262JUNC00338	807	dog
CGACAFTENST00000614484JUNC00339	150	dog
CGACAFTENST00000368694JUNC00341	3184	dog
CGACAFTENST00000614256JUNC00342	5	dog
CGACAFTENST00000398492JUNC00343	3518	dog
CGACAFTENSMUST00000107043JUNC00344	5	dog
CGACAFTENST00000532317JUNC00346	11550	dog
CGACAFTENST00000393346JUNC00347	1232	dog
CGACAFTENSMUST00000207225JUNC00348	2837	dog
CGACAFTENST00000354667JUNC00349	4870	dog
CGACAFTENSMUST00000069949JUNC00350	28195	dog
CGACAFTENSMUST00000069949JUNC00351	10987	dog
CGACAFTENST00000524176JUNC00352	19	dog
CGACAFTENST00000374026JUNC00355	84	dog
CGACAFTENSMUST00000114859JUNC00356	938	dog
CGACAFTENST00000347404JUNC00357	62	dog
CGACAFTENST00000400308JUNC00358	33	dog
CGACAFTENST00000400308JUNC00359	429	dog
CGACAFTENST00000515064JUNC00360	487	dog
CGACAFTENST00000515064JUNC00361	227	dog
CGACAFTENST00000441778JUNC00362	144	dog
CGACAFTENST00000502640JUNC00363	70	dog
CGACAFTENSMUST00000199256JUNC00364	77	dog
CGACAFTENST00000454077JUNC00365	628	dog
CGACAFTENST00000454077JUNC00366	2021	dog
CGACAFTENST00000313478JUNC00367	541	dog
CGACAFTENST00000392020JUNC00368	493	dog
CGACAFTENSMUST00000113190JUNC00370	180	dog
CGACAFTENSMUST00000113190JUNC00371	183	dog
CGACAFTENST00000378166JUNC00372	158	dog
CGACAFTENST00000378166JUNC00373	149	dog
CGACAFTENST00000368406JUNC00375	1	dog
CGACAFTENST00000469404JUNC00376	677	dog
CGACAFTENST00000371039JUNC00377	136	dog
CGACAFTENST00000371039JUNC00378	69	dog
CGACAFTENST00000371039JUNC00379	145	dog
CGACAFTENST00000371039JUNC00380	89	dog
CGACAFTENST00000371039JUNC00381	16	dog
CGACAFTENSMUST00000066824JUNC00382	32	dog
CGACAFTENSMUST00000072481JUNC00383	200	dog
CGACAFTENSMUST00000071268JUNC00385	526	dog
CGACAFTENST00000368533JUNC00386	15792	dog
CGACAFTENST00000368533JUNC00387	2399	dog
CGACAFTENST00000328159JUNC00388	336	dog
CGACAFTENST00000368530JUNC00390	5240	dog
CGACAFTENST00000611659JUNC00391	39	dog
CGACAFTENST00000425013JUNC00393	540	dog
CGACAFTENST00000372554JUNC00394	1103	dog
CGACAFTENST00000372554JUNC00395	898	dog
CGACAFTENST00000372554JUNC00396	1201	dog
CGACAFTENST00000372554JUNC00397	1520	dog
CGACAFTENSMUST00000113620JUNC00398	437	dog
CGACAFTENST00000373069JUNC00399	341	dog
CGACAFTENST00000373069JUNC00400	412	dog
CGACAFTENST00000373066JUNC00401	215	dog
CGACAFTENST00000373064JUNC00402	1005	dog
CGACAFTENST00000444354JUNC00403	424	dog
CGACAFTENST00000319770JUNC00404	2183	dog
CGACAFTENST00000355772JUNC00405	19	dog
CGACAFTENSMUST00000112428JUNC00406	530	dog
CGACAFTENST00000435881JUNC00408	5683	dog
CGACAFTENST00000346833JUNC00409	1928	dog
CGACAFTENST00000621914JUNC00411	4570	dog
CGACAFTENST00000343315JUNC00412	184	dog
CGACAFTENST00000266732JUNC00413	954	dog
CGACAFTENST00000393053JUNC00414	789	dog
CGACAFTENSMUST00000099355JUNC00415	447	dog
CGACAFTENST00000531443JUNC00416	3077	dog
CGACAFTENST00000442977JUNC00417	4	dog
CGACAFTENST00000312046JUNC00418	325	dog
CGACAFTENST00000449762JUNC00419	312	dog
CGACAFTENST00000297447JUNC00420	87	dog
CGACAFTENST00000341376JUNC00421	143	dog
CGACAFTENST00000353205JUNC00422	476	dog
CGACAFTENSMUST00000159063JUNC00423	355	dog
CGACAFTENST00000585517JUNC00424	1102	dog
CGACAFTENST00000404395JUNC00425	2443	dog
