Junctions	sum	species
CGACAFTENST00000472644JUNC00201	640	dog
CGACAFTENST00000354558JUNC00202	13	dog
CGACAFTENSMUST00000046769JUNC00203	810	dog
CGACAFTENST00000355221JUNC00204	326	dog
CGACAFTENST00000361776JUNC00205	101	dog
CGACAFTENSMUST00000047645JUNC00206	70	dog
CGACAFTENST00000554684JUNC00207	1061	dog
CGACAFTENST00000540797JUNC00209	1	dog
CGACAFTENSMUST00000098613JUNC00210	6	dog
CGACAFTENST00000356728JUNC00212	243	dog
CGACAFTENSMUST00000063782JUNC00214	3	dog
CGACAFTENSMUST00000063782JUNC00215	603	dog
CGACAFTENST00000356644JUNC00218	381	dog
CGACAFTENST00000448447JUNC00219	90	dog
CGACAFTENST00000398376JUNC00220	814	dog
CGACAFTENST00000398376JUNC00221	937	dog
CGACAFTENST00000417353JUNC00223	3	dog
CGACAFTENSMUST00000208446JUNC00224	472	dog
CGACAFTENST00000370779JUNC00225	37	dog
CGACAFTENST00000354078JUNC00228	4	dog
CGACAFTENST00000349807JUNC00229	2	dog
CGACAFTENST00000618438JUNC00230	55	dog
CGACAFTENST00000345434JUNC00231	450	dog
CGACAFTENST00000345434JUNC00232	385	dog
CGACAFTENSMUST00000160629JUNC00234	334	dog
CGACAFTENST00000444053JUNC00235	1557	dog
CGACAFTENST00000630269JUNC00237	17	dog
CGACAFTENST00000272322JUNC00239	240	dog
CGACAFTENSMUST00000096127JUNC00240	1	dog
CGACAFTENST00000509773JUNC00244	684	dog
CGACAFTENSMUST00000103159JUNC00245	42	dog
CGACAFTENST00000336604JUNC00246	1538	dog
CGACAFTENST00000396840JUNC00247	599	dog
CGACAFTENST00000451813JUNC00249	181	dog
CGACAFTENST00000367380JUNC00250	42	dog
CGACAFTENST00000544496JUNC00251	2	dog
CGACAFTENST00000402711JUNC00252	61	dog
CGACAFTENSMUST00000096766JUNC00253	423	dog
CGACAFTENSMUST00000096766JUNC00254	423	dog
CGACAFTENST00000618166JUNC00256	63	dog
CGACAFTENST00000397138JUNC00257	23	dog
CGACAFTENSMUST00000080934JUNC00260	113	dog
CGACAFTENSMUST00000108191JUNC00261	43	dog
CGACAFTENST00000419354JUNC00262	1174	dog
CGACAFTENST00000419354JUNC00263	1749	dog
CGACAFTENST00000452595JUNC00264	164	dog
CGACAFTENST00000443183JUNC00265	320	dog
CGACAFTENST00000443183JUNC00266	294	dog
CGACAFTENST00000357674JUNC00267	991	dog
CGACAFTENSMUST00000115196JUNC00268	21	dog
CGACAFTENST00000545766JUNC00270	65	dog
