junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
CGAMUSTENST00000540677JUNC00132	10	CGATENSMUST00000076968JUNC00109	2	CGACAFTENST00000271234JUNC00098	35
CGAMUSTENST00000542836JUNC00134	9	CGATENSMUST00000076968JUNC00110	23	CGACAFTENST00000271234JUNC00099	36
CGAMUSTENST00000431992JUNC00136	1	CGATENSMUST00000076968JUNC00111	31	CGACAFTENST00000374189JUNC00100	521
CGAMUSTENSCAFT00000027630JUNC00137	26	CGATENSMUST00000020884JUNC00113	8	CGACAFTENST00000374189JUNC00101	508
CGAMUSTENST00000506560JUNC00138	1	CGATENSMUST00000020884JUNC00114	7	CGACAFTENST00000374189JUNC00102	568
CGAMUSTENST00000222597JUNC00139	29	CGATENSMUST00000107043JUNC00118	3	CGACAFTENST00000360332JUNC00103	1
CGAMUSTENST00000295951JUNC00144	42	CGATENSCAFT00000017823JUNC00119	314	CGACAFTENSMUST00000121093JUNC00104	890
CGAMUSTENST00000428312JUNC00145	15	CGATENSCAFT00000017823JUNC00120	179	CGACAFTENSMUST00000020884JUNC00105	428
CGAMUSTENST00000397624JUNC00146	3	CGATENSMUST00000105992JUNC00121	63	CGACAFTENSMUST00000020884JUNC00106	429
CGAMUSTENST00000400181JUNC00147	31	CGATENSMUST00000105991JUNC00122	17	CGACAFTENST00000393512JUNC00107	116
CGAMUSTENST00000400181JUNC00148	32	CGATENSMUST00000110906JUNC00123	5	CGACAFTENST00000393512JUNC00108	330
CGAMUSTENST00000378511JUNC00150	1	CGATENSMUST00000202567JUNC00125	22	CGACAFTENST00000360162JUNC00109	2482
CGAMUSTENST00000359786JUNC00151	59	CGATENSMUST00000080934JUNC00126	3	CGACAFTENST00000526757JUNC00110	32
CGAMUSTENST00000614256JUNC00152	2	CGATENSMUST00000108191JUNC00127	8	CGACAFTENST00000373913JUNC00111	488
CGAMUSTENST00000355772JUNC00153	1			CGACAFTENST00000373913JUNC00112	479
CGAMUSTENST00000453295JUNC00154	3			CGACAFTENST00000340491JUNC00113	827
CGAMUSTENST00000452595JUNC00158	6			CGACAFTENSMUST00000109568JUNC00114	2
CGAMUSTENST00000357674JUNC00159	146			CGACAFTENST00000404234JUNC00115	366
CGAMUSTENSCAFT00000012642JUNC00160	3			CGACAFTENST00000360929JUNC00116	1
CGAMUSTENSCAFT00000049149JUNC00161	50			CGACAFTENST00000360929JUNC00117	59
CGAMUSTENSCAFT00000049149JUNC00162	38			CGACAFTENST00000529632JUNC00119	12
CGAMUSTENST00000429174JUNC00163	31			CGACAFTENSMUST00000075387JUNC00120	224
CGAMUSTENST00000429174JUNC00164	43			CGACAFTENST00000409762JUNC00122	1535
CGAMUSTENST00000488267JUNC00166	30			CGACAFTENST00000429174JUNC00123	431
CGAMUSTENSCAFT00000020697JUNC00169	1			CGACAFTENST00000429174JUNC00124	619
CGAMUSTENST00000229471JUNC00170	3			CGACAFTENST00000544049JUNC00125	194
CGAMUSTENST00000540797JUNC00171	2			CGACAFTENST00000295894JUNC00126	1632
CGAMUSTENSCAFT00000022782JUNC00172	15			CGACAFTENSMUST00000116492JUNC00127	2464
CGAMUSTENST00000301894JUNC00173	233			CGACAFTENST00000257075JUNC00128	572
CGAMUSTENST00000377551JUNC00174	1			CGACAFTENST00000257075JUNC00129	826
CGAMUSTENST00000377559JUNC00175	6			CGACAFTENST00000257075JUNC00130	1409
CGAMUSTENST00000377559JUNC00176	18			CGACAFTENSMUST00000105992JUNC00131	336
CGAMUSTENST00000377559JUNC00177	165			CGACAFTENSMUST00000105991JUNC00132	90
CGAMUSTENST00000368361JUNC00178	249			CGACAFTENST00000229795JUNC00133	1480
CGAMUSTENST00000420159JUNC00180	2			CGACAFTENST00000229795JUNC00134	1689
CGAMUSTENST00000399357JUNC00181	11			CGACAFTENST00000405192JUNC00136	1
CGAMUSTENST00000445726JUNC00184	24			CGACAFTENST00000403527JUNC00137	419
				CGACAFTENST00000403685JUNC00138	39
				CGACAFTENST00000420159JUNC00139	7
				CGACAFTENST00000572834JUNC00143	2
				CGACAFTENST00000330622JUNC00144	763
				CGACAFTENST00000456095JUNC00145	756
				CGACAFTENST00000400181JUNC00146	277
				CGACAFTENST00000400181JUNC00147	382
				CGACAFTENST00000370994JUNC00148	16249
