sum	species
3434	hs
1560	hs
127	hs
722	hs
318	hs
1368	hs
1310	hs
898	hs
1425	hs
1862	hs
1575	hs
2101	hs
1209	hs
1569	hs
615	hs
20	hs
44	hs
73	hs
88	hs
96	hs
54	hs
169	hs
282	hs
429	hs
464	hs
406	hs
473	hs
567	hs
572	hs
661	hs
552	hs
409	hs
434	hs
70	hs
387	hs
805	hs
1774	hs
2048	hs
1793	hs
1303	hs
1979	hs
2019	hs
881	hs
1160	hs
2574	hs
3227	hs
2551	hs
2647	hs
2448	hs
2089	hs
2516	hs
334	hs
326	hs
235	hs
186	hs
237	hs
227	hs
271	hs
180	hs
160	hs
136	hs
249	hs
305	hs
295	hs
365	hs
241	hs
249	hs
205	hs
301	hs
364	hs
116	hs
22	hs
74	hs
145	hs
121	hs
152	hs
124	hs
87	hs
127	hs
151	hs
14	hs
8	hs
77	hs
156	hs
465	hs
531	hs
648	hs
453	hs
578	hs
843	hs
744	hs
325	hs
851	hs
1078	hs
1085	hs
983	hs
276	hs
379	hs
11	hs
88	hs
120	hs
47	hs
1041	hs
928	hs
1549	hs
1058	hs
155	hs
880	hs
718	hs
573	hs
627	hs
551	hs
409	hs
349	hs
376	hs
342	hs
1840	hs
3102	hs
3514	hs
3762	hs
3856	hs
1366	hs
59	hs
8	hs
240	hs
911	hs
920	hs
1217	hs
1176	hs
1369	hs
1178	hs
1398	hs
892	hs
1229	hs
1601	hs
1036	hs
1368	hs
8	hs
6	hs
13	hs
15	hs
23	hs
16	hs
20	hs
25	hs
25	hs
27	hs
35	hs
93	hs
271	hs
443	hs
446	hs
676	hs
566	hs
785	hs
688	hs
620	hs
734	hs
721	hs
627	hs
766	hs
600	hs
452	hs
688	hs
797	hs
57	hs
54	hs
183	hs
144	hs
142	hs
139	hs
154	hs
181	hs
124	hs
173	hs
158	hs
198	hs
211	hs
157	hs
192	hs
48	hs
30	hs
143	hs
153	hs
70	hs
71	hs
7	hs
3	hs
52	hs
235	hs
335	hs
325	hs
389	hs
375	hs
334	hs
139	hs
127	hs
377	hs
330	hs
428	hs
365	hs
235	hs
377	hs
423	hs
408	hs
433	hs
127	hs
8	hs
148	hs
114	hs
59	hs
160	hs
113	hs
45	hs
74	hs
123	hs
99	hs
111	hs
81	hs
98	hs
42	hs
26	hs
99	hs
136	hs
145	hs
151	hs
123	hs
154	hs
42	hs
62	hs
14	hs
13	hs
23	hs
58	hs
30	hs
24	hs
48	hs
1429	hs
1747	hs
1740	hs
1094	hs
696	hs
1282	hs
1073	hs
1608	hs
2138	hs
2295	hs
2271	hs
2577	hs
2014	hs
2838	hs
2586	hs
1857	hs
434	hs
199	hs
5	hs
631	hs
410	hs
536	hs
300	hs
55	hs
602	hs
612	hs
